created:2025-02-06 13:23:08 UTC
ephemeris_start:2025-02-06 12:42:42 UTC ephemeris_stop:2025-02-09 12:42:42 UTC step_size:60
ephemeris_source:blend
UVW
-4.5412222702e-09 -6.0257886108e-12 6.6007202330e-12 -1.4197685380e-09 1.9217920331e-09 5.6084513087e-12 -2.8038434343e-12
1.3881829936e-12 -3.1361515363e-12 6.4318970460e-12 1.8783627741e-09 -8.7615608554e-15 5.1895483625e-15 1.8829676241e-12
2025037125542.000 -435.9880295183 -5013.9072958776 -4765.4159234497 6.4928546229 2.3804187719 -3.1014448031
1.6351532294e-06 -2.1738955744e-06 4.4205629296e-06 -3.1109207195e-10 4.1244785031e-09 4.7170283609e-06 3.2005266362e-09
-5.0819919376e-09 -7.3510883543e-12 7.1753661502e-12 -1.5151835368e-09 2.1201410744e-09 6.3197440922e-12 -3.0250914503e-12
1.4794335355e-12 -3.7474706008e-12 7.5870093043e-12 1.6533115660e-09 -1.0035127710e-14 5.5687965385e-15 1.6581717916e-12
2025037125642.000 -45.7586318287 -4860.4052868450 -4941.0955941922 6.5101285051 2.7344634982 -2.7524566422
1.7337947102e-06 -2.3921645720e-06 4.9868415878e-06 -5.6495880337e-10 5.0534989589e-09 4.9005714237e-06 3.4354490467e-09
-5.6684876960e-09 -8.8079391124e-12 7.7867074627e-12 -1.6106561795e-09 2.3284856717e-09 7.0307434255e-12 -3.2524468990e-12
1.5709745393e-12 -4.3805573962e-12 8.8070964798e-12 1.4016669322e-09 -1.1308486539e-14 5.9017392633e-15 1.4677083181e-12
2025037125742.000 344.6675473895 -4686.0087412608 -5095.4753920523 6.4994143673 3.0766566524 -2.3917035669
1.8317012677e-06 -2.6202804235e-06 5.6079534120e-06 -8.6110607826e-10 6.0846614677e-09 5.0525357871e-06 3.6759716715e-09
-6.3022997702e-09 -1.0384919598e-11 8.4357787368e-12 -1.7055698908e-09 2.5460379189e-09 7.7304132932e-12 -3.4850166506e-12
1.6621953591e-12 -5.0251216546e-12 1.0078574396e-11 1.1277581809e-09 -1.2558441605e-14 6.1840040770e-15 1.3150610972e-12
2025037125842.000 733.6124716950 -4491.4726175185 -5227.8956828362 6.4607733544 3.4055452627 -2.0207347925
1.9282568832e-06 -2.8573344523e-06 6.2861814155e-06 -1.1991561355e-09 7.2134284362e-09 5.1705287408e-06 3.9211610207e-09
-6.9848509581e-09 -1.2066990547e-11 9.1235043500e-12 -1.7993085981e-09 2.7718600862e-09 8.4079372136e-12 -3.7218183483e-12
1.7524843774e-12 -5.6694475408e-12 1.1385624134e-11 8.3629169379e-10 -1.3761106042e-14 6.4120707009e-15 1.2030648161e-12
2025037125942.000 1119.4052936444 -4277.6373399191 -5337.7910125551 6.3943836005 3.7197344349 -1.6411393472
2.0228562612e-06 -3.1022787153e-06 7.0235597194e-06 -1.5774561833e-09 8.4330730039e-09 5.2527409620e-06 4.1700042456e-09
-7.7173762980e-09 -1.3835588457e-11 9.8506873201e-12 -1.8912652201e-09 3.0048685136e-09 9.0528637292e-12 -3.9617841783e-12
1.8412374341e-12 -6.3005759916e-12 1.2710101489e-11 5.3227031445e-10 -1.4892248827e-14 6.5831494077e-15 1.1338583899e-12
2025037130042.000 1500.3893092912 -4045.4251545078 -5424.6923098529 6.3005381751 4.0178923644 -1.2545400332
2.1149133695e-06 -3.3539331654e-06 7.8218386644e-06 -1.9931854429e-09 9.7347312730e-09 5.2979770091e-06 4.4214151973e-09
-8.5009035016e-09 -1.5669421891e-11 1.0617998348e-11 -1.9808500277e-09 3.2438395391e-09 9.6554163633e-12 -4.2037656327e-12
